model,top_k,filename,timestamp,total_questions,evaluation_timestamp,semantic_sim_mean,semantic_sim_median,semantic_sim_std,semantic_sim_min,semantic_sim_max,bleu_mean,bleu_median,bleu_std,tfidf_mean,tfidf_median,tfidf_std,response_time_mean,response_time_median,response_time_std,length_ratio_mean,length_ratio_median,composite_score
InternVL3-2B-Instruct-Q5_K_M,5,answer_evaluation_results_topk5_InternVL3-2B-Instruct-Q5_K_M.json,unknown,10,2025-11-26T22:36:31.737872,0.8284852206707001,0.8344400227069855,0.08772453478234514,0.6563611030578613,0.9848254919052124,0.07835053227371945,0.07593931592619413,0.040282925019209284,0.5537954440341659,0.5158787503332047,0.09821753756424416,2.2147935152053835,1.7122802734375,1.3460309286709158,1.2095513891029401,1.0881948868610294,0.5210378811606456
InternVL3-2B-Instruct-Q5_K_M,10,answer_evaluation_results_topk10_InternVL3-2B-Instruct-Q5_K_M.json,unknown,10,2025-11-26T23:15:22.756471,0.8440039694309235,0.8527452647686005,0.06265938780767832,0.7062565088272095,0.9117621183395386,0.05765381370903262,0.054697961172164564,0.0427633034841433,0.5767218132549624,0.5938214776544287,0.10994810745990251,2.3743144512176513,1.5422778129577637,1.7059228287223696,1.05598123030348,0.5017547658913418,0.5279142758615679
InternVL3-2B-Instruct-Q5_K_M,15,answer_evaluation_results_topk15_InternVL3-2B-Instruct-Q5_K_M.json,unknown,10,2025-11-26T23:49:16.823884,0.8497276306152344,0.8809037208557129,0.08180966519539921,0.672152578830719,0.9533350467681885,0.0889599127002311,0.07150968109803255,0.05289984511213567,0.5915822420138845,0.5880038058873218,0.05171937432094171,2.5229572057724,2.120218276977539,1.3015238437428844,1.0176115468439069,0.8384000633493534,0.5440536986603285
InternVL3-2B-Instruct-Q5_K_M,20,answer_evaluation_results_topk20_InternVL3-2B-Instruct-Q5_K_M.json,unknown,10,2025-11-27T00:29:04.274095,0.8319559156894684,0.8520931005477905,0.0940383554064882,0.6453437209129333,0.9732393026351929,0.10493495347759914,0.1100352372788233,0.04901413526694795,0.58972982684274,0.6009627562660086,0.062464351265941916,3.334960198402405,3.0579276084899902,1.071796176253806,1.2812805341333966,1.0822734302571946,0.5411818003718891
InternVL3-2B-Instruct-Q5_K_M,25,answer_evaluation_results_topk25_InternVL3-2B-Instruct-Q5_K_M.json,unknown,10,2025-11-27T01:12:48.040186,0.8297055900096894,0.8520090281963348,0.10004667301535092,0.6414850354194641,0.9737032651901245,0.0967411922416134,0.07712238658296092,0.07192249655234903,0.558882604434926,0.5698555461476863,0.13112201988524114,3.8938884973526,3.1744892597198486,1.7352504063700271,1.2466684295712929,0.9260729628004096,0.5285693750068376
InternVL3_5-2B-Q6_K,5,answer_evaluation_results_topk5_InternVL3_5-2B-Q6_K.json,unknown,10,2025-11-26T22:28:47.389161,0.7916868329048157,0.828872799873352,0.09885239658068222,0.6169489026069641,0.8961231708526611,0.06080015274878189,0.0451864012692285,0.05155829690643417,0.5484906471071879,0.5353364963489531,0.13217925519699936,38.92308738231659,7.046258211135864,49.10947057356344,7.753296504857152,1.8068975854991582,0.4994619731187172
InternVL3_5-2B-Q6_K,10,answer_evaluation_results_topk10_InternVL3_5-2B-Q6_K.json,unknown,10,2025-11-26T23:07:47.139850,0.8358109712600708,0.8451886773109436,0.07886955459647182,0.7230041027069092,0.9633227586746216,0.08077969790844619,0.0755196924628881,0.05185755161937002,0.5570023777267508,0.5776664479187699,0.0889156973858235,31.566367173194884,8.334790706634521,46.336700732440015,4.879275996240711,1.294861546849515,0.5256590111945875
InternVL3_5-2B-Q6_K,15,answer_evaluation_results_topk15_InternVL3_5-2B-Q6_K.json,unknown,10,2025-11-26T23:41:50.243937,0.8217505276203155,0.7880868911743164,0.0997221065398515,0.6861622333526611,0.9595600366592407,0.07906237607289555,0.07360593183936456,0.04294475247528448,0.5396895408700313,0.5211557682428966,0.0788718565769863,12.623379683494568,8.575930714607239,10.833269367265341,1.8013858286866724,1.5644711091148258,0.5143257861310043
InternVL3_5-2B-Q6_K,20,answer_evaluation_results_topk20_InternVL3_5-2B-Q6_K.json,unknown,10,2025-11-27T00:18:48.781527,0.8119259834289551,0.8092292547225952,0.11516906503096758,0.5795474052429199,0.9758425951004028,0.07190968105699387,0.05911204829247621,0.06063019300806462,0.5330651002734973,0.5337730887946177,0.07626094891512573,12.706867265701295,10.156615138053894,8.089715681124787,1.692510162677658,1.0876924055112016,0.5062628277707294
InternVL3_5-2B-Q6_K,25,answer_evaluation_results_topk25_InternVL3_5-2B-Q6_K.json,unknown,10,2025-11-27T01:05:21.514932,0.8356641948223114,0.8441615700721741,0.07535573607012766,0.710044801235199,0.9680911898612976,0.08880103988074674,0.0714768352707218,0.052509582399961494,0.5677888177700238,0.5602346142662542,0.10166058902708178,16.298498153686523,9.393466353416443,14.43797219596834,1.5939173324290448,1.5342965834910833,0.5312426352241557
InternVL3_5-2B-Q8_0,5,answer_evaluation_results_topk5_InternVL3_5-2B-Q8_0.json,unknown,10,2025-11-26T22:31:14.849468,0.8078495860099792,0.8253780007362366,0.09372254390758494,0.6718319058418274,0.9197622537612915,0.07445009153181675,0.06806749227690885,0.06183315015113296,0.5411063619372325,0.5474136515858736,0.08173560030494008,12.112619709968566,10.130830645561218,10.546185288059169,1.4483485283172786,1.582792122751555,0.5078067704447066
InternVL3_5-2B-Q8_0,10,answer_evaluation_results_topk10_InternVL3_5-2B-Q8_0.json,unknown,10,2025-11-26T23:12:13.419489,0.8385377705097199,0.865418016910553,0.09814778894071492,0.6941988468170166,0.963405966758728,0.09793645909426389,0.07157464791336886,0.09758318251185089,0.55759115278497,0.5418240205226892,0.09250022334602258,23.51126284599304,5.470863699913025,39.69893224634742,4.102995837144379,1.4419804770602038,0.5320733917676581
InternVL3_5-2B-Q8_0,15,answer_evaluation_results_topk15_InternVL3_5-2B-Q8_0.json,unknown,10,2025-11-26T23:43:49.223135,0.829009759426117,0.8294847011566162,0.1057477760605145,0.630418598651886,0.9645994305610657,0.07833660141725945,0.0791901470469488,0.036888264813583205,0.5643636239781281,0.5358469057043458,0.07895609471666228,9.26156017780304,6.518280029296875,5.704374459717887,1.7579899667612888,1.6640703077322798,0.524413971389063
InternVL3_5-2B-Q8_0,20,answer_evaluation_results_topk20_InternVL3_5-2B-Q8_0.json,unknown,10,2025-11-27T00:22:40.289833,0.8264581084251403,0.8548795580863953,0.11203557410387156,0.5647663474082947,0.9407427906990051,0.07264275754785425,0.06709149395214994,0.04147281335183056,0.5842524104504854,0.5896891419521103,0.10284774300655328,20.5149507522583,7.8806092739105225,27.569862394038708,1.7315401011063773,1.5407701050957732,0.5276517937695581
InternVL3_5-2B-Q8_0,25,answer_evaluation_results_topk25_InternVL3_5-2B-Q8_0.json,unknown,10,2025-11-27T01:08:13.605808,0.8060697376728058,0.7905524671077728,0.10635947055093037,0.6263155937194824,0.9709028005599976,0.08604417179892158,0.07457474980605006,0.05295281324236028,0.524893585207883,0.5425016955807225,0.08034792671063758,14.581801295280457,10.480716824531555,8.799446688921428,1.5614828720572889,1.6136062644006381,0.5057092221711638
InternVL3_5-8B-Q4_K_M,5,answer_evaluation_results_topk5_InternVL3_5-8B-Q4_K_M.json,unknown,10,2025-11-26T22:35:44.798267,0.815820699930191,0.830013781785965,0.08986949286263625,0.6377847194671631,0.9381732940673828,0.07478231612610534,0.07303282860034188,0.026608568143957075,0.5306222267542452,0.5354756448966658,0.08954537737935028,24.094658041000365,14.47717010974884,30.42635816616612,1.614538375661514,1.5301739390052413,0.5079496428361815
InternVL3_5-8B-Q4_K_M,10,answer_evaluation_results_topk10_InternVL3_5-8B-Q4_K_M.json,unknown,10,2025-11-26T23:14:35.085238,0.839557695388794,0.8504901826381683,0.08175071852968548,0.6353476643562317,0.9342883825302124,0.09993308011652179,0.09857069401437296,0.0448543075839637,0.5896644787513157,0.5940460452761123,0.08244103095402501,11.04544768333435,11.45355999469757,4.056509568431163,1.575504698424444,1.531169285717586,0.5427023458158688
InternVL3_5-8B-Q4_K_M,15,answer_evaluation_results_topk15_InternVL3_5-8B-Q4_K_M.json,unknown,10,2025-11-26T23:48:27.888969,0.8502088844776153,0.869878351688385,0.08325735474654053,0.6522895693778992,0.9572075605392456,0.1101813175972616,0.11694910576484434,0.043984004168359535,0.6138916356199775,0.6030329242344799,0.07932478636800351,25.201169109344484,13.517311692237854,33.526242055878654,1.683523938595508,1.458686630030754,0.5573054397562179
InternVL3_5-8B-Q4_K_M,20,answer_evaluation_results_topk20_InternVL3_5-8B-Q4_K_M.json,unknown,10,2025-11-27T00:28:06.083310,0.8454665899276733,0.842564582824707,0.09564343280143019,0.6520097255706787,0.9797073602676392,0.0957108537579999,0.09519172638584045,0.04445951500372296,0.6054963202622948,0.5962174212974483,0.06832591887563141,29.66666226387024,14.714360356330872,46.799717218376024,1.6658860523971046,1.5202813654156622,0.5485487881771578
